imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count
tt23558280,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,2024,20241h 31m,5.7,32K
tt41894389,Our Crossroads,"Ian arrives to shoot a portrait of Barbara and Bob Fraley, who took in six orphaned children after their parents died in accident. Through flashbacks, Ian witnesses their struggle for guardianship and faith, challenging his own skepticism.",2024,20241h 45m,6.8,23
tt11097384,Spaceman,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship.",2024,20241h 47m,5.7,48K
tt26731216,The Forge,"After graduating from high school without any plans for the future, Isaiah receives a push to start making better life decisions.",2024,20242h 4m,6.7,6.4K
tt23853982,Parthenope,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters.",2024,20242h 17m,6.5,21K
tt22042346,2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.,2024,20241h 25m,5.1,4.9K
tt21235248,Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",2024,20241h 55m,6.1,107K
tt9214772,Monkey Man,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.,2024,20242h 1m,6.8,101K
tt22939186,Arcadian,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.,2024,20241h 32m,5.5,29K
tt10243672,Joy,"3 trailblazers: a young nurse, a visionary scientist and an innovative surgeon face opposition from the church, state, media, and medical establishment in their pursuit of the world's first 'test tube baby,' Louise Joy Brown.",2024,20241h 55m,7.1,12K
tt14371878,Lift,A female master thief and her ex-boyfriend who works for the FBI team up to steal $100M worth of gold bullion being transported on a 777 passenger flight from London to Zurich.,2024,20241h 47m,5.6,53K
tt14260836,Better Man,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence.",2024,20242h 15m,7.5,47K
tt11762114,Mean Girls,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",2024,20241h 52m,5.5,42K
tt22173666,Azrael,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival.",2024,20241h 26m,5.3,15K
tt28510079,Your Fault,"Despite their parents' efforts to separate them, Noah and Nick's love seems unbreakable. However, work and college open their lives to new relationships.",2024,20241h 58m,5.3,20K
tt28249919,Presence,A family becomes convinced they are not alone after moving into their new home in the suburbs.,2024,20241h 24m,6.1,44K
tt11687002,The Outrun,"After living life on the edge in London, Rona attempts to come to terms with her troubled past. Hoping to heal, she returns to the wild beauty of Scotland's Orkney Islands where she grew up.",2024,20241h 58m,6.9,23K
tt28082769,September 5,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group.",2024,20241h 35m,7.1,37K
tt22050754,The Strangers: Chapter 1,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive.",2024,20241h 31m,4.7,31K
tt1340094,The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge.",2024,20241h 51m,4.7,42K
tt2256055,Witchboard,"A cursed Witchboard awakens dark forces, dragging a young couple into a deadly game of possession and deception",2024,20241h 52m,5.1,3.4K
tt13652286,Fight or Flight,A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.,2024,20241h 42m,6.4,28K
tt20221436,Emilia Pérez,"It follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self.",2024,20242h 12m,5.3,135K
tt30852384,All of You,A stirring near-futuristic romance of two best friends who harbor an unspoken love for one another even after a test matches one of them up with their supposed soulmate.,2024,20241h 38m,6.3,10K
tt5672290,The First Omen,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",2024,20241h 59m,6.5,72K
tt33400719,Strange Harvest,"Detectives are thrust into a chilling hunt for ""Mr. Shiny""-a sadistic serial killer from the past whose return marks the beginning of a new wave of grotesque, otherworldly crimes tied to a dark cosmic force.",2024,20241h 34m,6.3,7.2K
tt30321133,Will & Harper,"In this intimate portrayal of friendship, transition and America, Will Ferrell and his close friend of thirty years decide to go on a cross-country road trip to explore a new chapter in their relationship.",2024,20241h 54m,7.4,14K
