imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count,genre_hint,cleaned_story
tt32916229,Lockdown,"In an Italy torn apart Covid-19 pandemic, a man tries save the life of his sick lover by involving a group of accomplices, but they are discovered and will to pay the consegurnces.",2024,20241h 42m,,,,italy torn apart covid pandemic man tries save life sick lover involving group accomplices discovered pay consegurnces
tt30060565,Persona,"A woman wakes up locked in a house, injured with no memory. She's terrified and a little relieved to find a woman bound in another room. These 2 strangers must work together to figure out what's really going on before the door is unlocked.",2024,20241h 43m,4.4,98,,woman wakes locked house injured memory terrified little relieved find woman bound another room strangers must work together figure really going door unlocked
tt27587529,Mørkeland,"Ulrik Torp, once a fearless investigative journalist who is now tackling unemployment and a midlife crisis. He finds himself in the middle of a new political conspiracy.",2024,20241h 39m,6.2,1.9K,,ulrik torp fearless investigative journalist tackling unemployment midlife crisis finds middle new political conspiracy
tt31989964,Unconditional,"Yolanda falls in love with Billy, a convict, whom she meets online. What motivates her, even after Billy commits a murder in prison and ends up on death row, to maintain a relationship with him when you can only love each other from afar?",2024,,6.3,19,,yolanda falls love billy convict meets online motivates even billy commits murder prison ends death row maintain relationship love afar
tt16139258,Yodha,"After terrorists hijack a passenger plane, an off-duty soldier aboard devises a strategy to defeat the hijackers and ensure the passengers' survival when the engine fails.",2024,20242h 10m,5.7,9.4K,,terrorists hijack passenger plane duty soldier aboard devises strategy defeat hijackers ensure passengers survival engine fails
tt28225574,Pare parecchio Parigi,Three brothers who haven't spoken to each other for years would like to satisfy the wish of their elderly and ill father who has never seen Paris.,2024,20241h 30m,5.3,724,,three brothers haven spoken years like satisfy wish elderly ill father never seen paris
tt31710037,Familia,The life of a young man who joined an extremist group is poisoned when his abusive father comes back home after a decade-long absence.,2024,20242h,6.8,776,,life young man joined extremist group poisoned abusive father comes back home decade long absence
tt33183881,Throuple,"Ysay and Hannah search for a new partner after losing their boyfriend, while a married couple's reunion with an old friend takes a turn when the guest becomes romantically involved with them both, unraveling two stories of love and desire.",2024,20241h 10m,5.2,338,,ysay hannah search new partner losing boyfriend married couple reunion old friend takes turn guest becomes romantically involved unraveling two stories love desire
tt31189863,Fly,"Over seven years, three couples involved in the extreme sport of BASE jumping test the limits of love and life itself. Risking everything for the thrill of the jump, their dedication is put to the ultimate test.",2024,20241h 50m,7.2,803,,seven years three couples involved extreme sport base jumping test limits love life risking everything thrill jump dedication put ultimate test
tt29270596,Passport to Love,"A successful international travel writer, Nicole, has scored a dream seaside rental to research her newest vacation article only to discover it has accidentally been booked also by Kade, a marketing rep for a competing travel magazine.",2024,20241h 28m,6.2,550,,successful international travel writer nicole scored dream seaside rental research newest vacation article discover accidentally booked also kade marketing rep competing travel magazine
tt9363192,The Ghost Trap,A young lobsterman is forced to choose between right and wrong when his girlfriend suffers a traumatic head injury and a rival lobstering family sabotages his gear.,2024,20241h 46m,5.2,233,,young lobsterman forced choose right wrong girlfriend suffers traumatic head injury rival lobstering family sabotages gear
tt20781534,The Book of the Witch,"Driven by her fear of death, Victoria hunts a mythical Witch, determined to steal her book that grants eternal life-but at a sinister price.",2024,20241h 13m,4.3,188,,driven fear death victoria hunts mythical witch determined steal book grants eternal life sinister price
tt20502488,Meet Me Next Christmas,"In pursuit of a fairytale romance with the man of her dreams, Layla must race through New York City to get her hands on the hottest ticket in town: the sold out Pentatonix Christmas Eve Concert.",2024,20241h 40m,5.7,9.6K,,pursuit fairytale romance man dreams layla must race new york city get hands hottest ticket town sold pentatonix christmas eve concert
tt12663266,Devils Stay,"A heart specialist doubts his daughter's death after an exorcism, believing her heart still beats. Amid her three-day funeral, he and a priest clash over the truth, each trying to prove their stance and potentially save her life.",2024,20241h 35m,4.8,539,,heart specialist doubts daughter death exorcism believing heart still beats amid three day funeral priest clash truth trying prove stance potentially save life
tt2818640,A Circus Tale & a Love Song,"A romantic circus performer leaves Mexico seeking love, landing in New Orleans where he falls for an exotic dancer - but her possessive ex threatens their chance at happiness.",2024,20241h 54m,5.5,145,,romantic circus performer leaves mexico seeking love landing new orleans falls exotic dancer possessive threatens chance happiness
tt30973261,I Am Nevenka,"Centers on true happenings of Nevenka Fernández, a young woman in 1990s Spain who courageously reported sexual harassment by her employer. Her tenacity pioneered the fight against workplace misconduct in her country.",2024,20241h 52m,7.0,1.6K,,centers true happenings nevenka fern ndez young woman spain courageously reported sexual harassment employer tenacity pioneered fight workplace misconduct country
tt32843258,The Volunteers: The Battle of Life and Death,"It tells the story of the third to fifth battles in the War to Resist U.S. Aggression and Aid Korea, among which Battle of Cheorwon will be the highlight. Li Xiang , Fu Chongbi, Cai Changyuan from 63rd Army and others will come on Stage.",2024,20242h 24m,5.9,445,,tells story third fifth battles war resist aggression aid korea among battle cheorwon highlight xiang chongbi cai changyuan army others come stage
tt2963262,Limonov: The Ballad of Eddie,"The outrageous story of Eduard Limonov, the radical Soviet poet who became a bum in New York, a sensation in France, and a political antihero in Russia.",2024,20242h 18m,5.8,1.5K,,outrageous story eduard limonov radical soviet poet became bum new york sensation france political antihero russia
tt33143839,Death Game,"Five martial artists compete in a deadly trial for a massive reward, facing challenges and foes. They uncover sinister forces manipulating the event and devise a plan to confront them, seeking justice amidst the chaos and darkness.",2024,20241h 28m,5.9,108,,five martial artists compete deadly trial massive reward facing challenges foes uncover sinister forces manipulating event devise plan confront seeking justice amidst chaos darkness
